ExerciseID,Exercise Name,Exercise Type,Exercise Difficulty,Exercise Target Muscle Group,Equipment Needed,Reps,Duration,Sets
STR_001,Bench Press (Implied),Strength,Beginner,Chest,1,10-15,N/A
STR_002,Bent-Over Row (Implied),Strength,Intermediate,Back,1,8-12,N/A
STR_003,Barbell Back Squat (Implied),Strength,Advanced,Legs,1,4-8,N/A
STR_004,Bicep Curl (Implied),Strength,Beginner,Arms,1,10-15,N/A
STR_005,Overhead Press (Implied),Strength,Intermediate,Shoulders,1,8-12,N/A
FLEX_001,Plank (Implied),Core,Beginner,Core,0,20-60s hold,N/A
FLEX_002,Cat-Cow Pose (Implied),Flexibility,Intermediate,FullBody,0,5-10 cycles,5-10 min total
FLEX_003,Doorway Chest Stretch (Implied),Flexibility,Advanced,Chest,0,15-30s hold,5-10 min total
FLEX_004,Seated Forward Bend (Implied),Flexibility,Beginner,Back,0,15-30s hold,5-10 min total
FLEX_005,Standing Quad Stretch (Implied),Flexibility,Intermediate,Legs,0,15-30s hold,5-10 min total
CARDIO_001,Arm Circles (Implied),Cardio,Beginner,Arms,0,10-15 each direction,5 min total
CARDIO_002,Lateral Raises (Cardio Pace - Implied),Cardio,Intermediate,Shoulders,1,15-25,N/A
CARDIO_003,Burpees (Implied),Cardio,Advanced,FullBody,0,10-15,N/A (often part of HIIT)
CARDIO_004,Jumping Jacks (Implied),Cardio,Beginner,FullBody,0,20-50,10-20 min total
CARDIO_005,Mountain Climbers (Implied),Cardio,Intermediate,Core,0,30-60s interval,N/A (often part of HIIT)
CARDIO_006,Running (Treadmill/Outdoor),Cardio,Intermediate,FullBody,0,N/A,20-45 min
CARDIO_007,Jogging,Cardio,Beginner,FullBody,0,N/A,15-30 min
CARDIO_008,Brisk Walking,Cardio,Beginner,FullBody,0,N/A,20-60 min
CARDIO_009,Cycling (Stationary/Outdoor),Cardio,Intermediate,Legs,1,N/A,20-60 min
CARDIO_010,Swimming (Freestyle),Cardio,Intermediate,FullBody,1,N/A,20-45 min
CARDIO_011,Swimming (Breaststroke),Cardio,Intermediate,FullBody,1,N/A,20-45 min
CARDIO_012,Swimming (Backstroke),Cardio,Intermediate,FullBody,1,N/A,20-45 min
CARDIO_013,Swimming (Butterfly),Cardio,Advanced,FullBody,1,N/A (Interval based),15-30 min (Intervals)
CARDIO_014,Rowing (Machine/Water),Cardio,Intermediate,FullBody,1,N/A,15-40 min
CARDIO_015,Elliptical Trainer,Cardio,Beginner,FullBody,1,N/A,15-40 min
CARDIO_016,Stair Climber / Stepmill,Cardio,Intermediate,Legs,1,N/A,10-30 min
CARDIO_017,High Knees,Cardio,Beginner,FullBody,0,30-60s interval,N/A (Warmup/HIIT)
CARDIO_018,Butt Kicks,Cardio,Beginner,Legs,0,30-60s interval,N/A (Warmup/HIIT)
CARDIO_019,Jump Rope / Skipping,Cardio,Intermediate,FullBody,1,N/A (Time based),10-25 min (Intervals)
CARDIO_020,Shadow Boxing,Cardio,Intermediate,FullBody,0,N/A (Rounds),15-30 min (Rounds)
CARDIO_021,"Dancing (e.g., Zumba)",Cardio,Intermediate,FullBody,0,N/A,30-60 min
CARDIO_022,Hiking,Cardio,Intermediate,Legs,0,N/A,45-180 min+
CARDIO_023,Sprints,Cardio,Advanced,FullBody,0,1 (Sprint),N/A (Short duration)
CARDIO_024,Agility Ladder Drills,Cardio,Intermediate,FullBody,1,N/A (Pattern based),10-15 min total
CARDIO_025,Cone Drills (Shuttle Run),Cardio,Intermediate,FullBody,1,1 (Run),N/A (Short duration)
CARDIO_026,Battle Ropes,Cardio,Intermediate,FullBody,1,20-40s interval,N/A (HIIT)
CARDIO_027,Assault Bike,Cardio,Advanced,FullBody,1,N/A (Interval based),10-20 min (Intervals)
CARDIO_028,Ski Erg,Cardio,Intermediate,FullBody,1,N/A (Interval based),10-20 min (Intervals)
STR_006,Bodyweight Squat,Strength,Beginner,Legs,0,15-25,N/A
STR_007,Barbell Back Squat,Strength,Intermediate,Legs,1,8-12,N/A
STR_008,Conventional Deadlift,Strength,Advanced,FullBody,1,3-6,N/A
STR_009,Push-up (Standard),Strength,Beginner,Chest,0,AMRAP / 10-20,N/A
STR_010,Pull-up (Overhand Grip),Strength,Intermediate,Back,1,AMRAP / 5-10,N/A
STR_011,Chin-up (Underhand Grip),Strength,Intermediate,Back,1,AMRAP / 5-12,N/A
STR_012,Overhead Press (Barbell/DB),Strength,Intermediate,Shoulders,1,6-10,N/A
STR_013,Bench Press (Barbell/DB - Flat),Strength,Intermediate,Chest,1,8-12,N/A
STR_014,Bent-Over Row (Barbell/DB),Strength,Intermediate,Back,1,8-12,N/A
STR_015,Lunge (Forward/Reverse),Strength,Beginner,Legs,0,10-15 each leg,N/A
STR_016,Plank (Forearm/High),Core,Beginner,Core,0,20-60s hold,N/A
STR_017,Farmer's Walk,Strength,Intermediate,FullBody,1,Distance/Time,N/A
STR_018,Incline Push-up,Strength,Beginner,Chest,0,12-20,N/A
STR_019,Decline Push-up,Strength,Intermediate,Chest,1,AMRAP / 8-15,N/A
STR_020,Diamond Push-up,Strength,Intermediate,Arms,0,AMRAP / 8-15,N/A
STR_021,Wide-Grip Push-up,Strength,Intermediate,Chest,0,AMRAP / 10-18,N/A
STR_022,Pike Push-up,Strength,Intermediate,Shoulders,0,AMRAP / 6-12,N/A
STR_023,Handstand Push-up (Strict/Kipping),Strength,Advanced,Shoulders,1,AMRAP / 3-10,N/A
STR_024,Incline Bench Press (Barbell/Dumbbell),Strength,Intermediate,Chest,1,8-12,N/A
STR_025,Decline Bench Press (Barbell/Dumbbell),Strength,Intermediate,Chest,1,8-12,N/A
STR_026,Chest Fly (Dumbbell/Cable/Machine),Strength,Beginner,Chest,1,10-15,N/A
STR_027,Dip (Chest Focused),Strength,Intermediate,Chest,1,AMRAP / 8-15,N/A
STR_028,Dip (Triceps Focused),Strength,Intermediate,Arms,1,AMRAP / 8-15,N/A
STR_029,Cable Crossover,Strength,Beginner,Chest,1,12-18,N/A
STR_030,Dumbbell Pullover,Strength,Intermediate,Chest,1,10-15,N/A
STR_031,Neutral Grip Pull-up,Strength,Intermediate,Back,1,AMRAP / 6-12,N/A
STR_032,Lat Pulldown (Wide/Narrow/Underhand),Strength,Beginner,Back,1,10-15,N/A
STR_033,Seated Cable Row,Strength,Beginner,Back,1,10-15,N/A
STR_034,Single-Arm Dumbbell Row,Strength,Beginner,Back,1,10-15 each arm,N/A
STR_035,T-Bar Row,Strength,Intermediate,Back,1,8-12,N/A
STR_036,Inverted Row / Bodyweight Row,Strength,Beginner,Back,1,AMRAP / 10-20,N/A
STR_037,Face Pull,Strength,Beginner,Shoulders,1,15-25,N/A
STR_038,Back Extension / Hyperextension,Strength,Beginner,Back,1,12-20,N/A
STR_039,Superman,Core,Beginner,Back,0,15-20,N/A
STR_040,Overhead Press (Barbell - Standing/Seated),Strength,Intermediate,Shoulders,1,6-10,N/A
STR_041,Overhead Press (Dumbbell - Standing/Seated),Strength,Intermediate,Shoulders,1,8-12,N/A
STR_042,Arnold Press,Strength,Intermediate,Shoulders,1,8-12,N/A
STR_043,Lateral Raise (Dumbbell/Cable),Strength,Beginner,Shoulders,1,12-20,N/A
STR_044,Front Raise (Dumbbell/Plate/Cable),Strength,Beginner,Shoulders,1,12-18,N/A
STR_045,Rear Delt Fly / Reverse Fly,Strength,Beginner,Shoulders,1,15-25,N/A
STR_046,Upright Row,Strength,Intermediate,Shoulders,1,10-15,N/A
STR_047,Barbell Shrug,Strength,Beginner,Shoulders,1,10-15,N/A
STR_048,Dumbbell Shrug,Strength,Beginner,Shoulders,1,12-20,N/A
STR_049,Bicep Curl (Barbell),Strength,Beginner,Arms,1,8-12,N/A
STR_050,Bicep Curl (Dumbbell - Standing/Seated/Incline),Strength,Beginner,Arms,1,10-15,N/A
STR_051,Hammer Curl,Strength,Beginner,Arms,1,10-15,N/A
STR_052,Concentration Curl,Strength,Beginner,Arms,1,12-18,N/A
STR_053,Preacher Curl,Strength,Intermediate,Arms,1,8-12,N/A
STR_054,Cable Bicep Curl,Strength,Beginner,Arms,1,10-15,N/A
STR_055,Triceps Pushdown (Rope/Bar),Strength,Beginner,Arms,1,10-15,N/A
STR_056,Overhead Triceps Extension (Dumbbell/Cable/Barbell),Strength,Beginner,Arms,1,10-15,N/A
STR_057,Triceps Kickback,Strength,Beginner,Arms,1,12-20,N/A
STR_058,Skullcrusher / Lying Triceps Extension,Strength,Intermediate,Arms,1,8-12,N/A
STR_059,Close-Grip Bench Press,Strength,Intermediate,Arms,1,6-10,N/A
STR_060,Barbell Front Squat,Strength,Intermediate,Legs,1,6-10,N/A
STR_061,Goblet Squat,Strength,Beginner,Legs,1,10-15,N/A
STR_062,Overhead Squat,Strength,Advanced,FullBody,1,3-6,N/A
STR_063,Split Squat,Strength,Beginner,Legs,0,10-15 each leg,N/A
STR_064,Bulgarian Split Squat,Strength,Intermediate,Legs,1,8-12 each leg,N/A
STR_065,Pistol Squat (Single-Leg Squat),Strength,Advanced,Legs,0,AMRAP / 3-8 each leg,N/A
STR_066,Lunge (Walking),Strength,Beginner,Legs,0,10-15 each leg,N/A
STR_067,Lunge (Side),Strength,Beginner,Legs,0,10-12 each leg,N/A
STR_068,Curtsy Lunge,Strength,Beginner,Legs,0,10-12 each leg,N/A
STR_069,Sumo Deadlift,Strength,Advanced,FullBody,1,3-6,N/A
STR_070,Romanian Deadlift (RDL),Strength,Intermediate,Hamstrings,1,8-12,N/A
STR_071,Stiff-Legged Deadlift,Strength,Intermediate,Hamstrings,1,8-12,N/A
STR_073,Glute Bridge,Strength,Beginner,Glutes,0,15-25,N/A
STR_074,Barbell Hip Thrust,Strength,Intermediate,Glutes,1,8-15,N/A
STR_075,Leg Press,Strength,Beginner,Legs,1,10-20,N/A
STR_076,Hack Squat,Strength,Intermediate,Legs,1,8-15,N/A
STR_077,Leg Extension,Strength,Beginner,Legs,1,12-20,N/A
STR_078,Hamstring Curl (Lying/Seated/Standing),Strength,Beginner,Hamstrings,1,12-20,N/A
STR_079,Good Morning,Strength,Intermediate,Hamstrings,1,10-15,N/A
STR_080,Step-Up (Box/Bench),Strength,Beginner,Legs,1,10-15 each leg,N/A
STR_081,Standing Calf Raise,Strength,Beginner,Calves,0,15-30,N/A
STR_082,Seated Calf Raise,Strength,Beginner,Calves,1,15-25,N/A
STR_083,Donkey Calf Raise,Strength,Intermediate,Calves,1,12-20,N/A
STR_084,Kipping Pull-ups,Strength,Advanced,Back,1,AMRAP / 5-15,N/A
STR_085,Dead Hang,Strength,Beginner,Back,1,15-60s hold,N/A
STR_086,Calf Press (Machine),Strength,Beginner,Calves,1,15-25,N/A
STR_087,Seated Dip Machine,Strength,Beginner,Arms,1,10-15,N/A
STR_088,Peck Deck Machine,Strength,Beginner,Chest,1,12-18,N/A
STR_089,Reverse Pec Deck,Strength,Beginner,Shoulders,1,15-25,N/A
STR_090,Leg Adduction Machine,Strength,Beginner,Legs,1,15-25,N/A
STR_091,Leg Abduction Machine,Strength,Beginner,Legs,1,15-25,N/A
STR_092,Wrist Curls,Strength,Beginner,Arms,1,15-25,N/A
STR_093,Reverse Wrist Curls,Strength,Beginner,Arms,1,15-25,N/A
CORE_001,Side Plank,Core,Beginner,Core,0,20-45s hold each side,N/A
CORE_002,Up-Down Plank / Plank Walk-out,Core,Intermediate,Core,0,8-15,N/A
CORE_003,Crunch,Core,Beginner,Core,0,15-30,N/A
CORE_004,Reverse Crunch,Core,Beginner,Core,0,15-25,N/A
CORE_005,Bicycle Crunch,Core,Beginner,Core,0,20-40 (total),N/A
CORE_006,Leg Raise (Lying/Hanging),Core,Intermediate,Core,1,12-20,N/A
CORE_007,Knee Tuck (Hanging/Stability Ball),Core,Intermediate,Core,1,12-20,N/A
CORE_008,Russian Twist (Bodyweight/Weighted),Core,Beginner,Core,0,20-40 (total),N/A
CORE_009,Sit-up,Core,Beginner,Core,0,15-25,N/A
CORE_010,V-Up,Core,Intermediate,Core,0,10-18,N/A
CORE_011,Flutter Kicks,Core,Beginner,Core,0,30-60s interval,N/A
CORE_012,Scissor Kicks,Core,Beginner,Core,0,30-60s interval,N/A
CORE_013,Bird Dog,Core,Beginner,Core,0,10-15 each side,N/A
CORE_014,Ab Wheel Rollout,Core,Advanced,Core,1,AMRAP / 8-15,N/A
CORE_015,Cable Woodchop (High-to-Low / Low-to-High),Core,Intermediate,Core,1,10-15 each side,N/A
CORE_016,Pallof Press,Core,Intermediate,Core,1,20-45s hold each side,N/A
CORE_017,Dead Bug,Core,Beginner,Core,0,10-15 each side,N/A
CORE_018,Dragon Flag,Core,Advanced,Core,1,AMRAP / 3-8,N/A
CORE_019,Hanging Windshield Wipers,Core,Advanced,Core,1,AMRAP / 8-15,N/A
PWR_001,Power Clean,Power,Advanced,FullBody,1,1-5,N/A
PWR_002,Squat Clean,Power,Advanced,FullBody,1,1-5,N/A
PWR_003,Snatch (Power/Squat),Power,Advanced,FullBody,1,1-3,N/A
PWR_004,Clean and Jerk,Power,Advanced,FullBody,1,1-3,N/A
PWR_005,Thruster (Barbell/Dumbbell),Power,Intermediate,FullBody,1,5-10,N/A
PWR_006,Kettlebell Swing (Russian/American),Power,Intermediate,FullBody,1,10-20,N/A
PWR_007,Turkish Get-Up,Power,Advanced,FullBody,1,1-3 each side,N/A
PWR_008,Wall Ball,Power,Intermediate,FullBody,1,10-20,N/A
PWR_009,Tire Flip,Power,Advanced,FullBody,1,3-6,N/A
PWR_010,Sled Push,Power,Intermediate,FullBody,1,Distance,N/A
PWR_011,Sled Pull,Power,Intermediate,FullBody,1,Distance,N/A
PLYO_001,Box Jump,Plyometrics,Intermediate,Legs,1,3-8,N/A
PLYO_002,Broad Jump,Plyometrics,Beginner,Legs,0,3-6,N/A
PLYO_003,Medicine Ball Throws,Plyometrics,Intermediate,FullBody,1,8-12,N/A
PLYO_004,Depth Jump,Plyometrics,Advanced,Legs,1,3-6,N/A
FLEX_006,Static Hamstring Stretch,Flexibility,Beginner,Hamstrings,0,20-45s hold,5-10 min total
FLEX_007,Static Quadriceps Stretch,Flexibility,Beginner,Legs,0,20-45s hold,5-10 min total
FLEX_008,Static Calf Stretch,Flexibility,Beginner,Calves,0,20-45s hold,5-10 min total
FLEX_009,Static Chest Stretch (Doorway),Flexibility,Beginner,Chest,0,20-45s hold,5-10 min total
FLEX_010,Static Shoulder Stretch (Across body),Flexibility,Beginner,Shoulders,0,20-45s hold,5-10 min total
FLEX_011,Static Triceps Stretch,Flexibility,Beginner,Arms,0,20-45s hold,5-10 min total
FLEX_012,Hip Flexor Stretch (Kneeling),Flexibility,Beginner,Legs,0,20-45s hold each side,5-10 min total
FLEX_013,Pigeon Pose,Flexibility,Intermediate,Legs,0,30-60s hold each side,5-10 min total
FLEX_015,Downward-Facing Dog,Flexibility,Beginner,FullBody,0,30-60s hold,5-10 min total
FLEX_016,Cobra Pose / Upward-Facing Dog,Flexibility,Beginner,Back,0,15-30s hold,5-10 min total
FLEX_017,Child's Pose,Flexibility,Beginner,Back,0,30-60s hold,5-10 min total
MOB_001,Cat-Cow Pose,Mobility,Beginner,Back,0,8-12 cycles,5 min total
MOB_002,Dynamic Leg Swings (Forward/Side),Mobility,Beginner,Legs,0,10-15 each direction,5 min total
MOB_003,Arm Circles (Forward/Backward),Mobility,Beginner,Shoulders,0,10-15 each direction,5 min total
MOB_004,Torso Twists,Mobility,Beginner,Core,0,10-15 each side,5 min total
MOB_005,Foam Rolling (Various Muscles),Mobility,Beginner,FullBody,1,N/A (Time based),5-15 min total
MOB_006,Thoracic Spine Rotations,Mobility,Beginner,Back,0,8-12 each side,5 min total
MOB_007,Ankle Mobility Circles,Mobility,Beginner,Legs,0,10-15 each direction,5 min total
MOB_008,World's Greatest Stretch,Mobility,Beginner,FullBody,0,5-8 each side,5-10 min total
MOB_009,Wrist Circles,Mobility,Beginner,Arms,0,10-15 each direction,5 min total
MOB_010,Neck Tilts/Circles,Mobility,Beginner,Neck,0,5-10 each direction,5 min total
MOB_011,Shoulder Dislocates (Band/Stick),Mobility,Intermediate,Shoulders,1,8-15,5 min total
BAL_001,Single-Leg Stand / Single-Leg Balance,Balance,Beginner,Legs,0,15-45s hold each side,N/A
BAL_002,Tandem Walk (Heel-to-Toe),Balance,Beginner,FullBody,0,Distance/Steps,N/A
BAL_003,Yoga Tree Pose,Balance,Beginner,Legs,0,20-60s hold each side,N/A
BAL_004,Single-Leg Romanian Deadlift (SLRDL),Balance,Advanced,Hamstrings,1,6-10 each leg,N/A
BAL_005,Bosu Ball Squats,Balance,Intermediate,Legs,1,10-15,N/A
BAL_006,Stability Ball Pike,Balance,Intermediate,Core,1,10-15,N/A